Count,Group
717,1
2185,1
1126,1
1376,1
1789,1
1637,1
0,1
0,1
3058,1
0,1
800,1
1801,1
2191,1
4130,1
2191,1
0,1
0,1
0,1
3721,1
0,1
0,1
0,1
0,1
0,1
4430,1
396,1
899,1
899,1
2514,1
3034,1
2720,1
2720,1
2453,1
2453,1
2453,1
0,1
471,1
0,1
2758,1
3763,1
0,1
0,1
0,1
3434,1
3676,1
0,1
2104,1
3039,1
4699,1
4276,1
3920,1
1796,1
0,1
2560,1
4197,1
1391,1
1676,1
3259,1
888,1
888,1
3698,1
888,1
0,1
0,1
1069,1
4305,1
4177,1
1579,1
123,1
171,1
4137,1
2668,1
495,1
2603,1
3913,1
3913,1
3913,1
3502,1
0,1
3127,1
4264,1
4264,1
522,1
0,1
0,1
3527,1
1875,1
1452,1
1855,1
1945,1
2496,1
0,1
2262,1
1519,1
732,1
732,1
799,1
897,1
950,1
1662,1
4231,1
0,1
0,1
0,1
0,1
2203,1
0,1
4391,1
0,1
1368,1
2137,1
4288,1
0,1
2690,1
0,1
0,1
1538,1
0,1
0,1
4651,1
2775,1
2717,1
3686,1
0,1
2972,1
0,1
0,1
680,1
0,1
2650,1
0,1
314,1
314,1
3246,1
3246,1
2613,1
2613,1
0,1
3159,1
0,1
2733,1
3650,1
0,1
4869,1
761,1
708,1
0,1
0,1
0,1
2299,1
0,1
0,1
0,1
0,1
4555,1
0,1
0,1
841,1
1043,1
1549,1
4025,1
0,1
4044,1
1525,1
3861,1
2202,1
3040,1
1776,1
0,1
0,1
3880,1
3880,1
3747,1
0,1
561,1
1361,1
1361,1
3283,1
3283,1
561,1
0,1
1017,1
1550,1
1017,1
1406,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
3230,1
103,1
0,1
0,1
942,1
0,1
0,1
1306,1
0,1
1306,1
2913,1
4857,1
1139,1
1393,1
3630,1
1592,1
4841,1
2882,1
2323,1
2891,1
4443,1
2036,1
4443,1
1551,1
1852,1
367,1
367,1
367,1
654,1
496,1
1302,1
0,1
833,1
474,1
1204,1
1862,1
2327,1
907,1
940,1
840,1
1093,1
940,1
1253,1
1077,1
2327,1
2173,1
1566,1
2609,1
2327,1
4188,1
3724,1
3674,1
3724,1
2209,1
2030,1
1515,1
909,1
933,1
3831,1
1705,1
0,1
0,1
736,1
1326,1
0,1
2535,1
135,1
135,1
1096,1
722,1
584,1
805,1
0,1
903,1
1146,1
1096,1
1139,1
1078,1
1096,1
0,1
1519,1
3111,1
2475,1
2118,1
0,1
902,1
782,1
762,1
762,1
3497,1
0,1
1696,1
3195,1
2718,1
4476,1
4476,1
0,1
1111,1
3161,1
4915,1
0,1
2678,1
2586,1
899,1
890,1
914,1
914,1
914,1
914,1
0,1
0,1
4953,1
672,1
2374,1
2397,1
4400,1
0,1
3543,1
2245,1
3489,1
1650,1
430,1
398,1
632,1
1704,1
398,1
621,1
4497,1
662,1
0,1
629,1
898,1
471,1
1032,1
141,1
3763,1
1662,1
669,1
2403,1
0,1
2470,1
1057,1
1847,1
0,1
3161,1
2875,1
4199,1
1109,1
936,1
1111,1
668,1
0,1
3913,1
897,1
4408,1
988,1
420,1
1374,1
3239,1
0,1
3039,1
914,1
4868,1
914,1
2978,1
3214,1
3816,1
2606,1
914,1
0,1
1523,1
1519,1
713,1
0,1
3160,1
1997,1
0,1
486,1
0,1
0,1
0,1
4097,1
3935,1
363,1
914,1
476,1
420,1
524,1
4903,1
3039,1
4974,1
732,1
739,1
0,1
2348,1
2775,1
2647,1
1073,1
0,1
0,1
2650,1
2511,1
626,1
4137,1
0,1
4551,1
4408,1
4903,1
2966,1
1495,1
0,1
2288,1
1223,1
0,1
3259,1
1023,1
0,1
680,1
0,1
1117,1
1191,1
687,1
2677,1
4551,1
1452,1
3022,1
1252,1
3674,1
741,1
0,1
2603,1
2826,1
1319,1
0,1
0,1
998,1
0,1
0,1
3650,1
4137,1
0,1
0,1
1250,1
0,1
1026,1
2193,1
3213,1
0,1
2289,1
3724,1
4443,1
3938,1
897,1
0,1
0,1
1075,1
0,1
0,1
0,1
718,1
3543,1
2245,1
1443,1
4188,1
2610,1
0,1
0,1
846,1
0,1
1474,1
0,1
1612,1
4177,1
0,1
2514,1
2416,1
0,1
914,1
0,1
3078,1
419,1
1643,1
1538,1
1662,1
1572,1
0,1
2071,1
1675,1
914,1
2401,1
0,1
0,1
855,1
2026,1
2854,1
0,1
736,1
1547,1
3583,1
1579,1
719,1
0,1
3985,1
2690,1
0,1
476,1
680,1
2375,1
3298,1
0,1
3006,1
3676,1
2104,1
3724,1
2020,1
914,1
0,1
0,1
3676,1
1562,1
0,1
1281,1
314,1
884,1
3533,1
622,1
0,1
628,1
1548,1
1528,1
1837,1
2514,1
2514,1
4426,1
0,1
0,1
0,1
1459,1
3083,1
0,1
4137,1
0,1
0,1
572,2
17,2
46,2
86,2
0,2
0,2
0,2
60,2
132,2
60,2
132,2
988,2
988,2
1547,2
55,2
55,2
55,2
2456,2
2403,2
1418,2
2316,2
2316,2
1787,2
888,2
53,2
40,2
1132,2
902,2
3108,2
2458,2
1970,2
3374,2
1452,2
2262,2
1776,2
763,2
360,2
2330,2
807,2
763,2
763,2
0,2
0,2
0,2
0,2
0,2
2216,2
2690,2
2216,2
2632,2
2511,2
0,2
0,2
2013,2
2154,2
2972,2
146,2
146,2
2650,2
314,2
314,2
207,2
207,2
446,2
596,2
314,2
207,2
29,2
2144,2
2144,2
0,2
1685,2
1685,2
1593,2
0,2
0,2
0,2
3328,2
0,2
0,2
687,2
561,2
561,2
0,2
1060,2
688,2
1017,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
385,2
195,2
195,2
1391,2
612,2
2327,2
0,2
2913,2
734,2
476,2
34,2
1551,2
3209,2
697,2
338,2
1322,2
420,2
367,2
266,2
804,2
27,2
0,2
741,2
2609,2
1241,2
1077,2
2327,2
907,2
3523,2
1403,2
1403,2
1149,2
949,2
672,2
1353,2
1353,2
135,2
1096,2
1924,2
794,2
0,2
0,2
1903,2
2396,2
71,2
87,2
914,2
914,2
914,2
8,2
376,2
0,2
