Count,Group
400,a
400,a
300,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
100,a
100,a
100,a
100,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
400,a
200,a
500,a
300,a
300,a
300,a
300,a
100,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
400,a
300,a
300,a
300,a
300,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
500,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
400,a
300,a
300,a
300,a
500,a
500,a
300,a
400,a
300,a
300,a
300,a
300,a
300,a
300,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
300,a
400,a
200,a
200,a
200,a
200,a
500,a
400,a
200,a
200,a
100,a
100,a
100,a
100,a
100,a
200,a
200,a
100,a
100,a
400,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
200,a
500,a
500,a
400,a
400,a
200,a
200,a
200,a
400,a
300,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
700,a
300,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
300,a
300,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
500,a
400,a
400,a
400,a
400,a
400,a
300,a
200,a
200,a
400,a
400,a
400,a
300,a
300,a
200,a
200,a
200,a
700,a
300,a
200,a
100,a
100,a
100,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
400,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
500,a
300,a
300,a
600,a
300,a
300,a
300,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
400,a
400,a
400,a
300,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
600,a
500,a
600,a
600,a
400,a
500,a
500,a
500,a
500,a
500,a
300,a
300,a
300,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
700,a
400,a
100,a
200,a
300,a
400,a
200,a
200,a
200,a
200,a
200,a
300,a
300,a
300,a
200,a
200,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
500,a
500,a
500,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
300,a
400,a
400,a
400,a
400,a
400,a
400,a
400,a
400,a
400,a
300,a
200,a
300,a
300,a
300,a
500,a
200,a
200,a
200,a
300,a
600,a
200,a
200,a
200,a
600,a
700,a
600,a
500,a
600,a
500,a
700,a
300,a
600,a
400,a
300,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
500,a
300,a
300,a
300,a
300,a
300,a
300,a
400,a
400,a
200,a
200,a
200,a
200,a
200,a
300,a
300,a
300,a
100,a
200,a
200,a
300,a
300,a
300,a
200,a
700,a
200,a
200,a
300,a
300,a
300,a
300,a
200,a
400,a
400,a
200,a
100,a
100,a
400,a
300,a
200,a
100,a
100,a
100,a
100,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
300,a
100,a
200,a
100,a
300,a
300,a
300,a
300,a
300,a
300,a
200,a
300,a
700,a
700,a
700,a
700,a
700,a
700,a
400,a
400,a
200,a
200,a
200,a
200,a
200,a
200,a
200,a
100,a
100,a
100,a
300,a
100,a
200,a
600,a
600,a
600,a
300,a
100,a
100,a
100,a
100,a
200,a
200,a
200,a
200,a
200,a
400,a
400,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
500,a
500,a
300,a
600,a
500,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
300,a
600,a
200,a
200,a
200,a
200,a
200,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
100,a
500,a
500,a
300,a
300,a
300,a
400,a
300,a
300,a
500,a
300,a
300,a
700,a
200,a
200,a
200,a
200,a
200,a
300,a
400,a
400,a
700,a
400,a
400,a
300,a
500,a
500,a
500,a
600,a
600,a
400,a
300,a
400,a
400,a
400,a
400,a
400,a
500,a
500,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
300,a
200,a
200,a
