Class,Branch,Count_GA,Count_RW
com.eteks.sweethome3d.j3d.Room3D,105,0,0
com.eteks.sweethome3d.j3d.Room3D,258,0,0
com.eteks.sweethome3d.j3d.Room3D,84,0,0
com.eteks.sweethome3d.j3d.Room3D,107,0,0
com.eteks.sweethome3d.j3d.Room3D,205,0,0
com.eteks.sweethome3d.j3d.Room3D,233,0,0
com.eteks.sweethome3d.j3d.Room3D,285,0,0
com.eteks.sweethome3d.j3d.Room3D,70,0,0
com.eteks.sweethome3d.j3d.Room3D,222,0,0
com.eteks.sweethome3d.j3d.Room3D,292,0,0
com.eteks.sweethome3d.j3d.Room3D,95,0,0
com.eteks.sweethome3d.j3d.Room3D,119,0,0
com.eteks.sweethome3d.j3d.Room3D,213,0,0
com.eteks.sweethome3d.j3d.Room3D,112,0,0
com.eteks.sweethome3d.j3d.Room3D,314,0,0
com.eteks.sweethome3d.j3d.Room3D,110,0,0
com.eteks.sweethome3d.SweetHome3D,147,0,0
com.eteks.sweethome3d.SweetHome3D,120,0,0
com.eteks.sweethome3d.SweetHome3D,49,0,0
com.eteks.sweethome3d.SweetHome3D,41,0,0
com.eteks.sweethome3d.SweetHome3D,37,0,0
com.eteks.sweethome3d.SweetHome3D,68,0,0
com.eteks.sweethome3d.SweetHome3D,1,0,0
com.eteks.sweethome3d.SweetHome3D,194,0,0
com.eteks.sweethome3d.SweetHome3D,22,0,0
com.eteks.sweethome3d.SweetHome3D,6,0,0
com.eteks.sweethome3d.SweetHome3D,95,0,0
com.eteks.sweethome3d.SweetHome3D,81,0,0
com.eteks.sweethome3d.SweetHome3D,106,0,0
com.eteks.sweethome3d.SweetHome3D,114,30,10
com.eteks.sweethome3d.viewcontroller.HomeController,194,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,396,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,379,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,400,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,442,0,0
com.eteks.sweethome3d.viewcontroller.HomeController,439,0,0
