AC,ND,NV,IC,PIC,DBI,SR
0.8833532423,0.086367619,0.0033895238,0.1302809862,0.0271643072,0.9511742089,0.6238095238
0.8678119065,0.1783356522,0.0025776812,0.0882519764,0.017073015,0.9685980987,0.715942029
0.9021629727,0.5334362319,0.004615942,0.0383313129,0.006291799,0.9868343457,0.7391304348
0.8457976076,0.2842515152,0.0028575758,0.0771091855,0.0150141483,0.9724468512,0.4666666667
0.8084144706,0.2861233766,0.002895671,0.0816010223,0.0157820158,0.9708661899,0.4658008658
0.864093682,0.1608266667,0.0032744444,0.0879449677,0.0163963964,0.9685020354,0.7722222222
0.856791016,0.2943318008,0.0028183908,0.0683433615,0.0125433597,0.97583807,0.5034482759
0.8748146699,0.3481574713,0.0026957854,0.0673961189,0.0124177818,0.9760032844,0.5003831418
0.8838208731,0.2185738889,0.0028305556,0.0902025852,0.017091536,0.9672582837,0.7866666667
0.8345568418,0.2730781732,0.0034016607,0.0615409931,0.0111862752,0.9788789918,0.6970344009
0.845496788,0.2966232323,0.0025941639,0.047515636,0.0076902941,0.9853994603,0.6061728395
0.8712632501,0.293656168,0.0024615486,0.047751564,0.0081508017,0.9850490148,0.5590551181
0.8688369192,0.2920326772,0.0024360892,0.0500702569,0.0087156711,0.984053685,0.574015748
0.8929122502,0.1222760417,0.0025104167,0.1191439729,0.0246465215,0.955608844,0.40625
0.5662086329,0.5057366667,0.0016016667,0.0181738297,0.004301635,0.9933235616,0
0.7403262783,0.0133696429,0.0076464286,0.3609683326,0.1050008342,0.8257400971,0.7678571429
0.8444857208,0.2182732323,0.002369697,0.0559436223,0.0096515708,0.9827449084,0.9060606061
0.8776417252,0.011502589,0.0091747573,0.239467232,0.0550320547,0.8920106436,0.825566343
0.8613536498,0.6069624242,0.0016369697,0.0577983316,0.0130609813,0.9779969641,0.0890909091
0.7686708891,0.1427756098,0.0029276423,0.0800583324,0.0142549053,0.973530169,0.487804878
0.787006718,0.3240435897,0.0045397436,0.117320431,0.027636611,0.9518005198,0.0769230769
0.8100322277,0.1348782609,0.002315942,0.1938234718,0.0496380438,0.9187885347,0
0.8739466798,0.1603365854,0.0030666667,0.0779969115,0.0146105455,0.9740285117,0.3658536585
0.8484072664,0.0251811594,0.0151289855,0.2303293259,0.0538538539,0.9007869169,0.347826087
0.8418593059,0.1738090395,0.0084957627,0.1334226213,0.0263492306,0.9429880136,0.3748587571
0.8843217693,0.7561720721,0.0098797297,0.0515148232,0.0135062991,0.9730202586,0.7382882883
0.7989473265,0.1079666667,0.0049737374,0.1040094065,0.0206954429,0.9628542969,0.5838383838
0.7590760894,0.0441886905,0.0053440476,0.1646206746,0.0369178703,0.9359314974,0.875
0.9197468963,0.0400587065,0.0039626866,0.1360228159,0.0272879845,0.949123244,0.4843283582
0.8546870304,0.1174942029,0.0094681159,0.1401465305,0.0271039155,0.9403972029,0.852173913
0.9530123902,0.8876627451,0.0011627451,0.0107445724,0.0028057469,0.9956840707,0
0.8936791578,0.1192927536,0.0026492754,0.1035363855,0.0204030117,0.9633728398,0.6144927536
0.8082648029,0.4517937659,0.0024590331,0.0290347451,0.0042920783,0.9915384478,0.6305343511
0.9548350212,0.1337319728,0.0133384354,0.1297029754,0.0237695178,0.9438937749,0.8583333333
0.8430858532,0.1156583333,0.0039460317,0.1031660968,0.0198404754,0.9624513125,0.6
0.9284627817,0.5309083333,0.0017541667,0.0775033076,0.0182001446,0.9694760842,0.3333333333
0.8522775657,0.1433678571,0.0019261905,0.094731605,0.0191143524,0.9676879206,0.4642857143
0.9682644244,0.5258304348,0.0019130435,0.0710444843,0.0133205669,0.9728708982,0.0869565217
0.9625269795,0.9615652381,0.0010761905,0.0041801046,0.0008046141,0.9986404819,0
0.8915110903,0.3027222222,0.0017980159,0.1370644645,0.0326127715,0.9458727565,0.0119047619
0.9161412226,0.5026395604,0.0031172161,0.0439753869,0.0073469073,0.9851534576,0.4205128205
0.7621955569,0.0209878788,0.0021333333,0.2267228153,0.0579549246,0.9074879971,0.0909090909
0.9195742843,0.0311059524,0.002522619,0.1662993599,0.0367593784,0.9357684334,0.6071428571
0.9158756819,0.0327511905,0.0023857143,0.1732803055,0.039006864,0.932318726,0.6071428571
0.7980122164,0.0897946237,0.002811828,0.1029080229,0.0169384438,0.9645831516,0.064516129
0.9490169764,0.0561216,0.0023109333,0.1008736137,0.0195673006,0.9649918232,0.4962666667
0.9123808959,0.3706368421,0.0023254386,0.0506254578,0.0091556469,0.9835286434,0.5263157895
0.911299963,0.0389694444,0.002,0.1435976675,0.0315843621,0.946549138,0
0.8748554671,0.1664814103,0.0027634615,0.1005927828,0.0203832037,0.963826355,0.7506410256
0.8687536829,0.108892517,0.0027238095,0.0964033841,0.0192416907,0.9664384085,0.6462585034
0.7535898127,0.2842354167,0.0022569444,0.0559944285,0.01093107,0.9814767639,0.2083333333
0.9220639563,0.0573619048,0.0036910714,0.1241072025,0.025380142,0.9539039246,0.5
0.8346419101,0.0080770833,0.0037020833,0.3139491227,0.0795754087,0.8534519798,0.25
0.8860349615,0.0374148148,0.0032074074,0.1983549144,0.0470119834,0.9199889457,0.6666666667
0.8721302539,0.0147248366,0.0054359477,0.2320302011,0.0547874672,0.898787232,0.4117647059
0.9004840053,0.0417527778,0.0036958333,0.1725097106,0.0385315871,0.9304216426,0.5
0.7749856852,0.150037037,0.0025333333,0.248452821,0.0696560758,0.8891024772,0.2888888889
