AC,ND,NV,IC,PIC,DBI,SR
0.758951415,0.7775474886,0.0014456621,0.0098706475,0.0014745339,0.9974115833,0
0.8611765015,0.7717786667,0.001356,0.0182534381,0.0034754755,0.993941143,0
0.8490122391,0.0718367188,0.0021947917,0.0832358014,0.0152871613,0.970895764,0.0109375
0.8992360326,0.2602257908,0.0027822384,0.0783060925,0.0150525221,0.9726344085,0.0883211679
0.8518291184,0.8050666667,0.0013666667,0.0074852999,0.0010343677,0.9982119535,0
0.7992992976,0.0333440476,0.002,0.2086131577,0.0516159016,0.9164908648,0
0.6967427223,0.009330303,0.002,0.3762978402,0.1175448175,0.8282692116,0
0.8552595883,0.9048528571,0.001247619,0.0069426898,0.0016135183,0.9975157657,0
0.8617030517,0.0354555556,0.0036753086,0.1831248729,0.0427229699,0.9243039686,0.6641975309
0.9432956737,0.043745641,0.0038646154,0.1227635652,0.024007084,0.9546788053,0.7384615385
0.9430550121,0.0761647343,0.0033111111,0.111401739,0.0214789669,0.9597191622,0.7734299517
0.874851928,0.0750469136,0.0069191358,0.1689451258,0.0381004461,0.9288967388,0.6666666667
0.8712995362,0.4635656489,0.0020824427,0.0571318668,0.0129118941,0.9777767045,0.2707379135
0.8850695891,0.0813092141,0.0042089431,0.1187183713,0.0242109318,0.9563225573,0.6417344173
0.8196343442,0.5770776385,0.0019556949,0.0337590114,0.0064361122,0.9883200462,0.0435736677
0.8718531916,0.0374466667,0.0046422222,0.1776328087,0.0403269937,0.9295117373,0.6666666667
0.8387797267,0.3484070175,0.0027900585,0.0653382321,0.0123105562,0.9771656564,0.2242690058
0.8007102183,0.0769551724,0.003416092,0.1514082161,0.0348214114,0.9409955353,0.7168582375
0.8549452401,0.1392829268,0.0023333333,0.0878835031,0.016948656,0.9705975191,0.4089430894
0.8361089594,0.0981125,0.0054982639,0.1346888191,0.0289188494,0.947368748,0.6574652778
0.8583130333,0.260575641,0.0018307692,0.2135251814,0.0588973589,0.9061341731,0
0.8398834868,0.0615612903,0.0029290323,0.1795334139,0.040127224,0.9283968968,0.1935483871
0.8802916489,0.3809696629,0.0019208489,0.0371052573,0.0062675659,0.9889761135,0.2187265918
0.9272593884,0.1401948718,0.002577193,0.1009461618,0.0195393774,0.9637094456,0.7214574899
0.8706081838,0.0437264368,0.0028551724,0.1515014032,0.0323047185,0.9417685099,0.3793103448
0.8943223911,0.1209304598,0.0033990421,0.095366969,0.0181114064,0.9638119786,0.753256705
0.8193563223,0.2956649425,0.0029063218,0.0467064591,0.0077036807,0.9853668235,0.9540229885
0.871461788,0.185175,0.0024466667,0.1667790125,0.040313647,0.931548869,0.2816666667
