Class,Group
Integer−Integer,1
Integer−Zero,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
Reference−Reference,1
Integer−Integer,1
Integer−Zero,1
Reference−Null,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Zero,1
Reference−Null,1
Integer−Zero,1
root,1
Integer−Integer,1
Integer−Integer,1
root,1
Reference−Null,1
Integer−Integer,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
root,1
root,1
root,1
Integer−Integer,1
Reference−Null,1
root,1
root,1
Integer−Integer,1
Integer−Zero,1
root,1
root,1
root,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
Reference−Null,1
Integer−Zero,1
Integer−Integer,1
Integer−Integer,1
root,1
Reference−Null,1
Integer−Zero,1
root,1
Integer−Integer,1
Integer−Zero,1
root,1
Reference−Reference,1
Reference−Reference,1
Reference−Null,1
Integer−Integer,1
root,1
root,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Integer,1
Integer−Integer,1
root,1
Reference−Null,1
root,1
Reference−Reference,1
Reference−Reference,1
Reference−Reference,1
Reference−Reference,1
root,1
Integer−Integer,1
Integer−Zero,1
Integer−Integer,1
Integer−Zero,1
root,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Zero,1
Reference−Null,1
Integer−Integer,1
Integer−Zero,1
Reference−Null,1
root,1
Reference−Null,1
Integer−Zero,1
Integer−Integer,1
root,1
Integer−Zero,1
Integer−Zero,1
Reference−Null,1
root,1
Integer−Zero,1
Integer−Integer,1
root,1
root,1
Reference−Null,1
Reference−Null,1
root,1
Integer−Integer,1
root,1
Integer−Integer,1
root,1
root,1
root,1
Integer−Integer,1
Reference−Null,1
Integer−Integer,1
Integer−Zero,1
root,1
Reference−Reference,1
Integer−Integer,1
Integer−Integer,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
Reference−Null,1
root,1
Integer−Integer,1
root,1
root,1
Integer−Zero,1
Integer−Integer,1
Integer−Integer,1
root,1
Integer−Integer,1
root,1
root,1
Integer−Integer,1
Reference−Null,1
root,1
Integer−Zero,1
Reference−Null,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
root,1
Reference−Null,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Zero,1
Reference−Null,1
Reference−Null,1
Integer−Zero,1
Reference−Reference,1
Integer−Integer,1
Reference−Null,1
root,1
root,1
Reference−Null,1
root,1
root,1
root,1
Integer−Integer,1
Integer−Integer,1
root,1
Integer−Integer,1
root,1
root,1
root,1
root,1
Integer−Integer,1
Reference−Null,1
root,1
root,1
Integer−Zero,1
root,1
root,1
Reference−Null,1
Integer−Integer,1
root,1
Integer−Zero,1
Integer−Integer,1
Reference−Null,1
root,1
Reference−Null,1
Integer−Integer,1
Integer−Integer,1
Integer−Zero,1
Integer−Integer,1
Reference−Null,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Integer,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
Reference−Null,1
Reference−Reference,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
root,1
root,1
Integer−Zero,1
root,1
Reference−Reference,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
root,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
Reference−Reference,1
root,1
root,1
root,1
Integer−Zero,1
Integer−Integer,1
root,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
Reference−Reference,1
Integer−Zero,1
Integer−Integer,1
Integer−Zero,1
Reference−Reference,1
Reference−Reference,1
Reference−Reference,1
Integer−Zero,1
Integer−Integer,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
Reference−Reference,1
Reference−Reference,1
root,1
root,1
Integer−Zero,1
Reference−Reference,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Integer,1
Reference−Reference,1
Integer−Zero,1
Integer−Zero,1
root,1
Reference−Reference,1
root,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
Reference−Reference,1
Integer−Integer,1
root,1
root,1
Integer−Integer,1
Integer−Integer,1
Reference−Null,2
Reference−Null,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
root,2
root,2
root,2
root,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Reference−Null,2
Integer−Zero,2
Reference−Null,2
root,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
root,2
root,2
root,2
Reference−Null,2
root,2
Reference−Null,2
Integer−Zero,2
Reference−Reference,2
Integer−Integer,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Reference−Null,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
Integer−Integer,2
Integer−Integer,2
Reference−Null,2
Reference−Null,2
Integer−Zero,2
Reference−Null,2
root,2
root,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
Reference−Null,2
Reference−Null,2
Reference−Null,2
Reference−Reference,2
Integer−Zero,2
Integer−Zero,2
Reference−Null,2
Integer−Zero,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Reference−Null,2
root,2
root,2
root,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Reference−Reference,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Integer−Zero,2
Integer−Integer,2
Reference−Null,2
Reference−Null,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
root,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
Reference−Null,2
Reference−Null,2
Integer−Zero,2
root,2
Reference−Null,2
Integer−Zero,2
Reference−Null,2
Integer−Integer,2
Reference−Null,2
Reference−Null,2
Reference−Null,2
Reference−Null,2
Integer−Zero,2
Reference−Null,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Reference−Null,2
Reference−Null,2
Reference−Null,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
root,2
root,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Reference−Null,2
Reference−Null,2
root,2
Reference−Null,2
Reference−Null,2
Reference−Null,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Reference−Null,2
Reference−Null,2
Integer−Integer,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Integer−Zero,2
Reference−Null,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Integer−Zero,2
Reference−Null,2
Reference−Null,2
root,2
Reference−Null,2
root,2
root,2
Reference−Reference,2
Integer−Zero,2
Reference−Null,2
Integer−Integer,2
Integer−Integer,2
root,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Integer−Integer,2
Reference−Null,2
Integer−Zero,2
Reference−Null,2
Integer−Zero,2
Reference−Null,2
Integer−Integer,2
Integer−Zero,2
Integer−Zero,2
Integer−Integer,2
Integer−Integer,2
Reference−Null,2
Integer−Zero,2
Integer−Zero,2
Integer−Zero,2
Reference−Null,2
Integer−Zero,2
